time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,distance_from_loc
2023-11-04T12:27:34.660Z,35.4138333333333,-83.5285,13.01,2.51,md,21.0,53.0,0.2441,0.14,se,se60501268,2023-11-04T18:36:00.574Z,"7 km WSW of Bryson City, North Carolina",earthquake,0.43,1.81,0.0608846971042487,13.0,reviewed,se,se,3251.5878008203667
2023-11-04T01:28:02.983Z,39.0992,-97.5842,10.0,3.4,mb_lg,14.0,88.0,0.759,0.53,us,us7000l8sp,2023-11-04T18:16:48.288Z,"7 km N of Bennington, Kansas",earthquake,3.15,1.989,0.04,164.0,reviewed,us,us,3540.8624892399353
2023-11-04T01:40:31.749Z,39.0614,-97.587,10.0,2.9,mb_lg,17.0,87.0,0.762,0.46,us,us7000l8ss,2023-11-04T12:14:55.337Z,"3 km N of Bennington, Kansas",earthquake,2.08,1.988,0.049,108.0,reviewed,us,us,3544.3965032205574
2023-11-04T05:38:30.875Z,37.7238,-97.9654,8.07,2.5,mb_lg,49.0,69.0,0.27,0.36,us,us7000l8tk,2023-11-04T12:47:15.496Z,"7 km SE of Pretty Prairie, Kansas",earthquake,1.82,7.555,0.088,34.0,reviewed,us,us,3684.4768820805393
2023-11-04T09:31:36.930Z,46.8876666666667,-112.521166666667,12.06,1.2,ml,13.0,115.0,0.05243,0.08,mb,mb90031933,2023-11-04T13:56:44.020Z,western Montana,earthquake,0.37,0.51,0.205568466932461,8.0,reviewed,mb,mb,3707.859246364276
2023-11-03T21:51:45.500Z,47.5775,-114.002,18.45,0.63,ml,8.0,135.0,0.06824,0.05,mb,mb90031953,2023-11-04T14:55:24.520Z,"9 km ESE of Pablo, Montana",earthquake,0.43,0.75,0.176572373234478,2.0,reviewed,mb,mb,3738.152729289808
2023-11-04T18:55:30.267Z,35.54746628,-96.71002197,3.411999941,1.86,ml,18.0,82.60537231,0.02531355992,0.5440051252,ok,ok2023vqix,2023-11-04T18:59:19.858Z,"7 km NNW of Prague, Oklahoma",earthquake,2.692935913,2.415852829,0.27,6.0,automatic,ok,ok,3822.6954541199475
2023-11-04T12:14:38.963Z,36.39974594,-98.43932343,4.109548092,1.66,ml,11.0,112.5816803,0.1235802844,0.224739165,ok,ok2023vpvr,2023-11-04T12:18:24.871Z,"0 km S of Cleo Springs, Oklahoma",earthquake,3.903077664,2.653147605,0.2,6.0,automatic,ok,ok,3829.5113772013215
2023-11-04T10:28:38.896Z,44.6143,-112.4982,12.408,2.6,ml,20.0,78.0,0.104,0.4,us,us7000l8uu,2023-11-04T13:43:21.270Z,Idaho-Montana border region,earthquake,3.07,2.894,0.046,61.0,reviewed,us,us,3882.863689251304
2023-11-04T03:27:36.370Z,44.4638333333333,-115.222333333333,6.9,1.21,ml,8.0,136.0,0.4479,0.13,mb,mb90031903,2023-11-04T14:47:28.320Z,"35 km NW of Stanley, Idaho",earthquake,0.57,1.2,0.140128018165735,8.0,reviewed,mb,mb,4046.2296354120326
2023-11-04T05:18:48.090Z,44.4601666666667,-115.2205,5.08,1.94,ml,11.0,74.0,0.4442,0.08,mb,mb90031908,2023-11-04T14:19:30.060Z,"35 km NW of Stanley, Idaho",earthquake,0.28,0.84,0.325840810348808,12.0,reviewed,mb,mb,4046.4186728909376
2023-11-04T04:04:33.540Z,58.9952,-136.3334,0.0,1.7,ml,,,,0.36,ak,ak023e5fxjyy,2023-11-04T04:06:31.880Z,Southeastern Alaska,earthquake,,1.2,,,automatic,ak,ak,4112.817031340494
2023-11-04T06:29:24.507Z,64.6205,-146.5083,18.2,1.1,ml,,,,0.53,ak,ak023e5h9rec,2023-11-04T06:32:24.848Z,"21 km ENE of Salcha, Alaska",earthquake,,0.2,,,automatic,ak,ak,4186.4456036675765
